"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,1865,0.896704260651629,21,-1.81839152987821,17,4979,8,4,0.7449875,0.00538749999999999,0.00723166496082148,0.8653875,0.9925,0.00160674834304077,1,5000,4978984,471
1.66666666666667e-05,1865,0.800213032581454,31,-2.22142622577843,19,4969,4,4,0.7136125,0.00380625000000001,0.00533377708490254,0.8062875,0.9775,0.000804990943851882,0.869519312741819,4719.05356416814,5958165,473
1.66666666666667e-05,1865,0.411177944862155,15,-1.94646513694368,12,4985,4,1,0.8074125,0.00190625,0.00236093694363166,0.8702375,0.9625,0.000802407221664995,0.935004058441558,4875.02241612554,8432438,490
1.66666666666667e-05,1865,0.61593984962406,35,-2.40068858460725,17,4965,16,4,0.7480125,0.00410624999999998,0.00548954730034589,0.8472,0.98,0.00322255790533736,0.885112740748473,4717.10733858761,2414643,481
1.66666666666667e-05,1865,0.780050125313283,38,-2.37014735241904,24,4962,9,3,0.757925,0.00102500000000005,0.00135237655440849,0.779675,0.9725,0.00181378476420798,0.897549890016696,4773.36896085654,1722320,475
1.66666666666667e-05,1865,1.77016290726817,27,-1.49540555338152,29,4973,9,4,0.206,0.0764,0.370873786407767,0.3662,0.9675,0.00180977277297406,0.538461538461538,3777.61538461538,5614668,478
1.66666666666667e-05,1865,0.410288220551378,32,-2.45939332686117,18,4968,17,5,0.8379625,0.000737499999999947,0.000880110983486667,0.8699875,0.99,0.0034219001610306,0.923539189361974,4854.78195882879,1866206,472
1.66666666666667e-05,1865,0.639586466165414,23,-2.09613415334981,17,4977,3,5,0.6500625,0.00605624999999999,0.00931641188347272,0.750375,0.98,0.000602772754671489,0.832970144579571,4455.24245785271,7895548,479
1.66666666666667e-05,1865,0.642907268170426,34,-2.36929891358601,23,4966,6,4,0.7536625,0.00110624999999998,0.00146783208664352,0.784025,0.98,0.00120821586790173,0.882072394175061,4625.12988021295,6850527,483
1.66666666666667e-05,1865,1.28214285714286,20,-1.451078995295,15,4980,4,1,0.6292875,0.00518750000000001,0.0082434499334565,0.6845875,0.97,0.000803212851405623,0.916666666666667,4891.83333333333,3393282,476
1.66666666666667e-05,1865,0.610175438596491,30,-2.30788425101201,21,4970,8,4,0.7380125,0.00270625000000002,0.00366694331058081,0.8151875,0.98,0.00160965794768612,0.873525497155384,4792.7323907824,7970471,496
1.66666666666667e-05,1865,0.795350877192982,37,-2.34587598120629,22,4963,10,5,0.6230875,0.00686249999999999,0.0110137019278994,0.7094375,0.985,0.00201491033649003,0.806867645729195,4346.09726689141,9341996,442
1.66666666666667e-05,1865,0.958734335839599,31,-2.13159489197261,27,4969,6,4,0.5115625,0.00746250000000004,0.0145876603543067,0.5861125,0.985,0.00120748641577782,0.739695948127769,4506.91604990894,3694435,497
1.66666666666667e-05,1865,1.04954887218045,32,-2.10706071883273,24,4968,10,5,0.6021625,0.00540624999999995,0.00897805824839632,0.67555,0.9825,0.00201288244766506,0.780729085527341,4548.98658280106,4604271,467
1.66666666666667e-05,1865,0.651077694235589,34,-2.36502950138163,17,4966,11,2,0.8561,0.000475000000000003,0.000554841724097656,0.8746,0.98,0.00221506242448651,0.944725716373506,4869.29250613289,9549946,466
1.66666666666667e-05,1865,0.895563909774436,30,-2.14146857872558,20,4970,5,6,0.7123,0.00249374999999996,0.00350098273199489,0.7670625,0.99,0.00100603621730382,0.857454289732771,4679.29525636108,5605959,465
1.66666666666667e-05,1865,0.788621553884712,37,-2.34913858696026,22,4963,12,4,0.758225,0.00132500000000002,0.00174750239045141,0.788675,0.9825,0.00241789240378803,0.88928701251493,4632.83855221478,5138489,468
1.66666666666667e-05,1865,0.51640350877193,23,-2.18633641530653,18,4977,6,5,0.7164375,0.00241250000000004,0.00336735584053046,0.7629125,0.985,0.00120554550934298,1,5000,1633230,441
1.66666666666667e-05,1865,0.453533834586466,26,-2.31288379057044,21,4974,8,9,0.7244875,0.00198750000000003,0.0027433185527701,0.7627375,0.9725,0.00160836349014877,0.87915087589113,4585.23510587549,6848995,469
